"filename", "language", "XML", "JSON", "HTML", "Dart", "YAML", "Markdown", "C++", "Swift", "Properties", "Groovy", "Java", "comment", "blank", "total"
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/indicator.svg", "XML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/line_buttonshet.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/menu.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/microphone.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/minimiz.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/music.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/musicPlayImage.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/nav-empty.svg", "XML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/new.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/next.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/playpod.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/plus.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/plusBig.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/receipt.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/schoolClass.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/seen.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/send.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/serche.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/share.svg", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/sort.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/sort2.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/mmd/projects/flutter/Farahosh/images/Ellipse 14.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/images/Graduation 1.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/images/Play.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/Polygon 1.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/Rectangle 160.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/images/Right.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/Star 10.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/Star 11.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/back.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/businessman-taking-interview.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/images/businessman-taking.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/images/businessman.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/images/donwload.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/dropdwon.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/false.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/favorite.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/mmd/projects/flutter/Farahosh/images/left_t.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/man.svg", "XML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/home/mmd/projects/flutter/Farahosh/images/microphone.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/music.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/images/music_playlist.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/mmd/projects/flutter/Farahosh/images/new.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/next.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/images/playliner.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
