"filename", "language", "Dart", "XML", "YAML", "Markdown", "Swift", "C++", "JSON", "Groovy", "Properties", "Java", "HTML", "comment", "blank", "total"
"/home/mmd/projects/flutter/Farahosh/README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/home/mmd/projects/flutter/Farahosh/analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"/home/mmd/projects/flutter/Farahosh/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 5, 13, 72
"/home/mmd/projects/flutter/Farahosh/android/app/src/debug/AndroidManifest.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"/home/mmd/projects/flutter/Farahosh/android/app/src/main/AndroidManifest.xml", "XML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 37
"/home/mmd/projects/flutter/Farahosh/android/app/src/main/java/io/flutter/app/FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 9, 4, 26
"/home/mmd/projects/flutter/Farahosh/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/home/mmd/projects/flutter/Farahosh/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/home/mmd/projects/flutter/Farahosh/android/app/src/main/res/values-night/styles.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/home/mmd/projects/flutter/Farahosh/android/app/src/main/res/values/styles.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/home/mmd/projects/flutter/Farahosh/android/app/src/profile/AndroidManifest.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 9
"/home/mmd/projects/flutter/Farahosh/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"/home/mmd/projects/flutter/Farahosh/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/mmd/projects/flutter/Farahosh/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/home/mmd/projects/flutter/Farahosh/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"/home/mmd/projects/flutter/Farahosh/assets/images/svg/FarahoshLogoBlue.svg", "XML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
