"filename", "language", "Dart", "XML", "comment", "blank", "total"
"/home/mmd/projects/flutter/Farahosh/android/app/src/main/AndroidManifest.xml", "XML", 0, -1, 0, -1, -2
"/home/mmd/projects/flutter/Farahosh/lib/app/api.dart", "Dart", 29, 0, 0, 8, 37
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner/leitner_cubit.dart", "Dart", 52, 0, 0, 12, 64
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner/leitner_state.dart", "Dart", 17, 0, 0, 7, 24
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner/new_leitner/new_leitner_cubit.dart", "Dart", 23, 0, 0, 5, 28
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner/new_leitner/new_leitner_state.dart", "Dart", 5, 0, 0, 4, 9
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner_box/leitner_box_cubit.dart", "Dart", 35, 0, 0, 8, 43
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/leitner_box/leitner_box_state.dart", "Dart", 10, 0, 0, 6, 16
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_leitner/new_leitner_cubit.dart", "Dart", 23, 0, 0, 5, 28
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/new_leitner/new_leitner_state.dart", "Dart", 5, 0, 0, 4, 9
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/settings/settings_state.dart", "Dart", 1, 0, 0, 1, 2
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/splash/splash_cubit.dart", "Dart", -1, 0, 0, 0, -1
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/tickeight/tickeight_cubit.dart", "Dart", 53, 0, 0, 13, 66
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/tickeight/tickeight_state.dart", "Dart", 17, 0, 0, 7, 24
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/tickeights/tickeights_cubit.dart", "Dart", 35, 0, 0, 9, 44
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/tickeights/tickeights_state.dart", "Dart", 10, 0, 0, 6, 16
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/wordnotes/wordnotes_cubit.dart", "Dart", 30, 0, 0, 7, 37
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/blocs/wordnotes/wordnotes_state.dart", "Dart", 10, 0, 0, 5, 15
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/data.dart", "Dart", -50, 0, -13, -4, -67
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/const/routepage.dart", "Dart", 9, 0, 6, 6, 21
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/const/urlimages.dart", "Dart", 15, 0, 0, 0, 15
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/encryption.dart", "Dart", 1, 0, 0, 0, 1
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/extensions/widgets.dart", "Dart", 3, 0, 0, 0, 3
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/alertdialoggetcode.dart", "Dart", 26, 0, 0, -1, 25
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/barChart.dart", "Dart", 50, 0, 0, 2, 52
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/buttons/buttonWidget.dart", "Dart", 15, 0, 0, -1, 14
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/buttons/calculatorButton.dart", "Dart", 2, 0, 0, 0, 2
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/chart.dart", "Dart", -25, 0, -24, -4, -53
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/chart/chatPM.dart", "Dart", 62, 0, 0, 7, 69
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/chart/formUser.dart", "Dart", 115, 0, 2, 5, 122
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/text.dart", "Dart", -11, 0, 0, -1, -12
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/textField/TextFieldwidget.dart", "Dart", 5, 0, 0, 1, 6
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/modules/widgets/textField/searchTextField.dart", "Dart", 1, 0, 0, 0, 1
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/router/screens.dart", "Dart", 8, 0, 16, 9, 33
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/School_handout/School_handout_page1.dart", "Dart", -94, 0, -1, -3, -98
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/School_handout/school_handout_page2.dart", "Dart", -25, 0, -1, -3, -29
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/School_handout/school_handout_page3.dart", "Dart", -46, 0, 0, -3, -49
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/calculator/calculator_page.dart", "Dart", 8, 0, 0, 0, 8
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/consultantBottomSheet/consultant.dart", "Dart", 128, 0, 1, 2, 131
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/consultant_chat.dart", "Dart", -68, 0, -2, -4, -74
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/consultant_chat/consultant_HistoryChat.dart", "Dart", 44, 0, 0, 2, 46
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/consultant_chat/consultant_chat.dart", "Dart", 69, 0, 0, 5, 74
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/consultant_finished.dart", "Dart", -189, 0, -1, -5, -195
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/consultant_page1/consultant_page1.dart", "Dart", -1, 0, 0, 0, -1
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/consultant_page2/consultant_page2.dart", "Dart", -1, 0, 0, 0, -1
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/consultant_page3.dart", "Dart", -246, 0, -7, -6, -259
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/consultant_page3/consultant_page3.dart", "Dart", 441, 0, 3, 16, 460
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/finished/consultantFinishedPage.dart", "Dart", 7, 0, 0, 0, 7
"/home/mmd/projects/flutter/Farahosh/lib/app/presentation/screens/consultant/reserved/consultant_page4.dart", "Dart", 6, 0, 0, 0, 6
